Ration_Card_Number,Family_Member,Aadhaar_Number,Mobile_Number,Address
3.34E+11,Rahul Nair,5.20E+11,9732090062,"951, Kalla Zila, Karaikudi 001709"
3.34E+11,Sharvani Nair,9.34E+11,9660878147,"951, Kalla Zila, Karaikudi 001709"
3.34E+11,Nirmal Kumar,3.48E+11,9527982585,"951, Kalla Zila, Karaikudi 001709"
3.34E+11,Vaishnavi Desai,9.14E+11,9118794027,"951, Kalla Zila, Karaikudi 001709"
3.34E+11,Snehal Pawar,4.48E+11,9449649582,"H.No. 206, Pall Road, Belgaum-297556"
3.34E+11,Rajiv Bhardwaj,8.83E+11,9189188102,"H.No. 206, Pall Road, Belgaum-297556"
3.34E+11,Hemant Rajput,6.75E+11,9501913906,"H.No. 206, Pall Road, Belgaum-297556"
3.34E+11,Mahima Gupta,8.07E+11,9880015171,"H.No. 206, Pall Road, Belgaum-297556"
3.34E+11,Rahul Prasad,8.86E+11,9507868547,"373, Purohit Path, Buxar 896251"
3.34E+11,Shubham Chauhan,4.07E+11,9548677748,"373, Purohit Path, Buxar 896251"
3.34E+11,Akash Malhotra,2.67E+11,9969037166,"373, Purohit Path, Buxar 896251"
3.34E+11,Ganesh Shankar,9.13E+11,9348975543,"373, Purohit Path, Buxar 896251"
3.33E+11,Tarun Verma,2.48E+11,9554755078,"85/94, Kakar Marg, Ballia 326321"
3.33E+11,Aparna Sinha,6.01E+11,9571214313,"85/94, Kakar Marg, Ballia 326321"
3.33E+11,Ramesh Babu,2.74E+11,9815440907,"85/94, Kakar Marg, Ballia 326321"
3.33E+11,Kavitha Krishnan,9.09E+11,9205164704,"85/94, Kakar Marg, Ballia 326321"
3.33E+11,Sonia Kapoor,2.45E+11,9681200527,"85/94, Kakar Marg, Ballia 326321"
3.34E+11,Abhishek Tyagi,1.37E+11,9379564483,"31, Swaminathan Zila, Dehri-389119"
3.34E+11,Akash Malhotra,4.65E+11,9635658456,"31, Swaminathan Zila, Dehri-389119"
3.34E+11,Snehal Pawar,4.48E+11,9449649582,"31, Swaminathan Zila, Dehri-389119"
3.34E+11,Raghav Tandon,5.55E+11,9110744983,"31, Swaminathan Zila, Dehri-389119"
3.34E+11,Anand Iyer,6.09E+11,9789795445,"52/979, Manne Circle, Ongole-916630"
3.34E+11,Chirag Desai,8.63E+11,9588603258,"52/979, Manne Circle, Ongole-916630"
3.34E+11,Komal Agrawal,6.68E+11,9496395041,"52/979, Manne Circle, Ongole-916630"
3.34E+11,Rahul Prasad,8.86E+11,9507868547,"52/979, Manne Circle, Ongole-916630"
3.34E+11,Rajiv Bhardwaj,8.83E+11,9189188102,"21/87, Edwin Road, Proddatur 930098"
3.34E+11,Anjali Bose,4.77E+11,9156095134,"21/87, Edwin Road, Proddatur 930098"
3.34E+11,Vikram Malhotra,9.95E+11,9955949144,"21/87, Edwin Road, Proddatur 930098"
3.34E+11,Akhil Yadav,5.57E+11,9188251049,"21/87, Edwin Road, Proddatur 930098"
3.34E+11,Ashwin Reddy,4.41E+11,9395761194,"21/87, Edwin Road, Proddatur 930098"
3.34E+11,Akhil Yadav,5.57E+11,9188251049,"55, Devi Ganj, Udaipur-295659"
3.34E+11,Priyanka Yadav,9.09E+11,9652651273,"55, Devi Ganj, Udaipur-295659"
3.34E+11,Vaishnavi Desai,8.91E+11,9627171098,"55, Devi Ganj, Udaipur-295659"
3.34E+11,Ravi Varma,2.71E+11,9632609500,"55, Devi Ganj, Udaipur-295659"
3.34E+11,Soham Gokhale,5.76E+11,9293005830,"44/94, Srinivas Marg, Purnia-794213"
3.34E+11,Sharvani Nair,6.63E+11,9414925410,"44/94, Srinivas Marg, Purnia-794213"
3.34E+11,Satish Shetty,2.15E+11,9640685337,"44/94, Srinivas Marg, Purnia-794213"
3.34E+11,Tarun Verma,1.85E+11,9140930561,"44/94, Srinivas Marg, Purnia-794213"
3.34E+11,Anand Iyer,7.61E+11,9968877835,"41, Pillay, Jaipur 371624"
3.34E+11,Ajay Mahajan,9.63E+11,9865194047,"41, Pillay, Jaipur 371624"
3.34E+11,Rajiv Bhardwaj,8.83E+11,9189188102,"41, Pillay, Jaipur 371624"
3.34E+11,Mansi Shah,9.22E+11,9397140379,"41, Pillay, Jaipur 371624"
3.34E+11,Sharvani Nair,6.63E+11,9414925410,"94/75, Bora Road, Bokaro-154664"
3.34E+11,Ritu Choudhary,3.77E+11,9368243971,"94/75, Bora Road, Bokaro-154664"
3.34E+11,Sanjay Gupta,4.88E+11,9331383104,"94/75, Bora Road, Bokaro-154664"
3.34E+11,Sonia Kapoor,2.45E+11,9681200527,"94/75, Bora Road, Bokaro-154664"
3.34E+11,Akash Malhotra,4.65E+11,9635658456,"91, Balan, Bhubaneswar-807091"
3.34E+11,Ganesh Shankar,9.13E+11,9348975543,"91, Balan, Bhubaneswar-807091"
3.34E+11,Gaurav Tiwari,6.12E+11,9581412021,"91, Balan, Bhubaneswar-807091"
3.34E+11,Ramesh Choudhary,7.13E+11,9138599290,"91, Balan, Bhubaneswar-807091"
3.33E+11,Bhavna Patel,4.04E+11,9552573521,"H.No. 173, Rajan Path, Ludhiana-880263"
3.33E+11,Neha Verma,2.37E+11,9284867401,"H.No. 173, Rajan Path, Ludhiana-880263"
3.33E+11,Sandeep Menon,4.30E+11,9370362902,"H.No. 173, Rajan Path, Ludhiana-880263"
3.33E+11,Nandita Das,7.73E+11,9830879025,"H.No. 173, Rajan Path, Ludhiana-880263"
3.33E+11,Ramya Natarajan,2.87E+11,9113546929,"H.No. 173, Rajan Path, Ludhiana-880263"
3.34E+11,Naveen Reddy,2.11E+11,9852868257,"H.No. 933, Chander Street, Raichur 631131"
3.34E+11,Jitendra Pandey,1.87E+11,9418864966,"H.No. 933, Chander Street, Raichur 631131"
3.34E+11,Rohit Sharma,4.81E+11,9169280427,"H.No. 933, Chander Street, Raichur 631131"
3.34E+11,Vivek Ranjan,3.29E+11,9971337172,"H.No. 933, Chander Street, Raichur 631131"
3.34E+11,Raghav Tandon,5.55E+11,9110744983,"166, Manne, Raiganj-182053"
3.34E+11,Sanjay Gupta,2.93E+11,9545556896,"166, Manne, Raiganj-182053"
3.34E+11,Tarun Verma,1.85E+11,9140930561,"166, Manne, Raiganj-182053"
3.34E+11,Vivek Ranjan,3.29E+11,9971337172,"166, Manne, Raiganj-182053"
3.34E+11,Reema Deshmukh,5.34E+11,9838016393,"H.No. 44, Padmanabhan Zila, Erode-993316"
3.34E+11,Kamal Kishore,4.92E+11,9316809544,"H.No. 44, Padmanabhan Zila, Erode-993316"
3.34E+11,Sandeep Menon,9.17E+11,9665686229,"H.No. 44, Padmanabhan Zila, Erode-993316"
3.34E+11,Asha Bhat,9.58E+11,9385833158,"H.No. 44, Padmanabhan Zila, Erode-993316"
3.34E+11,Aditi Sinha,1.61E+11,9716281276,"H.No. 44, Padmanabhan Zila, Erode-993316"
3.34E+11,Nakul Trivedi,2.85E+11,9109512804,"01/117, Din Chowk, Bidhannagar-600003"
3.34E+11,Komal Agrawal,4.63E+11,9791231344,"01/117, Din Chowk, Bidhannagar-600003"
3.34E+11,Gaurav Tiwari,4.84E+11,9895778872,"01/117, Din Chowk, Bidhannagar-600003"
3.34E+11,Hemant Rajput,6.75E+11,9501913906,"01/117, Din Chowk, Bidhannagar-600003"
3.34E+11,Sharada Iyer,3.66E+11,9615018000,"01/117, Din Chowk, Bidhannagar-600003"
3.33E+11,Avinash Rao,7.30E+11,9260261349,"H.No. 682, Pingle Nagar, Munger-577688"
3.33E+11,Ramesh Babu,2.74E+11,9815440907,"H.No. 682, Pingle Nagar, Munger-577688"
3.33E+11,Sujata Menon,4.25E+11,9718274870,"H.No. 682, Pingle Nagar, Munger-577688"
3.33E+11,Namrata Joshi,2.70E+11,9504512623,"H.No. 682, Pingle Nagar, Munger-577688"
3.33E+11,Sanjay Gupta,2.93E+11,9545556896,"H.No. 682, Pingle Nagar, Munger-577688"
3.33E+11,Sandeep Menon,7.25E+11,9382210093,"765, Lala Circle, Guna-684569"
3.33E+11,Nirmal Kumar,4.20E+11,9731531354,"765, Lala Circle, Guna-684569"
3.33E+11,Soham Gokhale,5.76E+11,9293005830,"765, Lala Circle, Guna-684569"
3.33E+11,Varun Tandon,9.84E+11,9126183652,"765, Lala Circle, Guna-684569"
3.33E+11,Mahima Gupta,2.59E+11,9419634616,"765, Lala Circle, Guna-684569"
3.34E+11,Neha Verma,2.37E+11,9284867401,"H.No. 752, Ahluwalia Road, Tirupati-541357"
3.34E+11,Sunil Chawla,8.20E+11,9779056979,"H.No. 752, Ahluwalia Road, Tirupati-541357"
3.34E+11,Gaurav Tiwari,6.12E+11,9581412021,"H.No. 752, Ahluwalia Road, Tirupati-541357"
3.34E+11,Ashwin Reddy,4.41E+11,9395761194,"H.No. 752, Ahluwalia Road, Tirupati-541357"
3.34E+11,Anand Iyer,7.61E+11,9968877835,"H.No. 752, Ahluwalia Road, Tirupati-541357"
3.34E+11,Gaurav Tiwari,4.84E+11,9895778872,"26, Sura Zila, Munger-940711"
3.34E+11,Siddhant Iyer,9.86E+11,9475093023,"26, Sura Zila, Munger-940711"
3.34E+11,Shubham Chauhan,4.07E+11,9548677748,"26, Sura Zila, Munger-940711"
3.34E+11,Yamini Rao,7.38E+11,9336738358,"26, Sura Zila, Munger-940711"
3.34E+11,Ramya Natarajan,2.87E+11,9113546929,"26, Sura Zila, Munger-940711"
3.34E+11,Venu Gopal,3.48E+11,9683855786,"26/848, Borah Circle, Davanagere-229399"
3.34E+11,Ravi Varma,9.74E+11,9686657221,"26/848, Borah Circle, Davanagere-229399"
3.34E+11,Sanjay Gupta,4.70E+11,9639914662,"26/848, Borah Circle, Davanagere-229399"
3.34E+11,Rahul Prasad,8.86E+11,9507868547,"26/848, Borah Circle, Davanagere-229399"
3.34E+11,Yashwant Reddy,1.67E+11,9240750614,"26/848, Borah Circle, Davanagere-229399"
3.33E+11,Anupam Pandey,6.28E+11,9504868138,"H.No. 03, Iyer Path, Kurnool 712608"
